INTERNAL_LOCATION_ID,Warehouse,Zone,Aisle,Bay,Shelf,LocationName,SimpleLocationName,LocationType,ExcludeVerificationWhenPicking,PickSequence
8,General / Wholesale,x,x,x,x,Quarantine Zone,Quarantine Zone,OFFHAND,FALSE,0
9,General / Wholesale,x,x,x,x,RET-TEMP,RET-TEMP,PICK,FALSE,0
734,General / Wholesale,x,x,x,x,CROSSDOCK,CROSSDOCK,PICK,FALSE,0
2423,General / Wholesale,x,x,x,x,Pallet1,Pallet1,PICK,FALSE,0
2424,General / Wholesale,x,x,x,x,Pallet2,Pallet2,PICK,FALSE,0
2425,General / Wholesale,x,x,x,x,Pallet3,Pallet3,PICK,FALSE,0
2426,General / Wholesale,x,x,x,x,Pallet4,Pallet4,PICK,FALSE,0
2427,General / Wholesale,x,x,x,x,Pallet5,Pallet5,PICK,FALSE,0
2428,General / Wholesale,x,x,x,x,Pallet6,Pallet6,PICK,FALSE,0
2429,General / Wholesale,x,x,x,x,Pallet7,Pallet7,PICK,FALSE,0
2430,General / Wholesale,x,x,x,x,Pallet8,Pallet8,PICK,FALSE,0
2431,General / Wholesale,x,x,x,x,Pallet9,Pallet9,PICK,FALSE,0
2432,General / Wholesale,x,x,x,x,Pallet10,Pallet10,PICK,FALSE,0
2363,General / Wholesale,x,x,x,x,RET-QT,RET-QT,GOODS IN,FALSE,0
4103,General / Wholesale,x,x,x,x,RS Transit,RS Transit,PICK,FALSE,0
4104,General / Wholesale,x,x,x,x,RET,RET,PICK,FALSE,0
4105,General / Wholesale,x,x,x,x,BRODIETEMP,BRODIETEMP,ALLOCATE,FALSE,0
4396,General / Wholesale,x,x,x,x,STASH,STASH,PICK,FALSE,0
4981,General / Wholesale,x,x,x,x,#R-13-0,#R-13-0,PICK,FALSE,0
12752,General / Wholesale,x,x,x,x,MAJORS,MAJORS,PICK,FALSE,0
12799,General / Wholesale,x,x,x,x,TOTE-N-1,TOTE-N-1,PICKING TOTE,TRUE,0
12800,General / Wholesale,x,x,x,x,TOTE-N-2,TOTE-N-2,PICKING TOTE,TRUE,0
12801,General / Wholesale,x,x,x,x,TOTE-N-3,TOTE-N-3,PICKING TOTE,TRUE,0
12802,General / Wholesale,x,x,x,x,TOTE-N-4,TOTE-N-4,PICKING TOTE,TRUE,0
12803,General / Wholesale,x,x,x,x,TOTE-N-5,TOTE-N-5,PICKING TOTE,TRUE,0
